text,url
GENERAL ADMINISTRATIVE PROVISIONS,https://www.nyc.gov/site/buildings/codes/2022-construction-codes.page#admin
PLUMBING CODE,https://www.nyc.gov/site/buildings/codes/2022-construction-codes.page#plumb
MECHANICAL CODE,https://www.nyc.gov/site/buildings/codes/2022-construction-codes.page#mc
FUEL GAS CODE,https://www.nyc.gov/site/buildings/codes/2022-construction-codes.page#fuel
BUILDING CODE,https://www.nyc.gov/site/buildings/codes/2022-construction-codes.page#bldgs
ADMINISTRATION,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022GAP_Chapter1_AdministrationWBwm.pdf&amp;section=conscode_2022
ENFORCEMENT,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022GAP_Chapter2_EnforcementWBwm.pdf&amp;section=conscode_2022
MAINTENANCE OF BUILDINGS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022GAP_Chapter3_MaintenanceWBwm.pdf&amp;section=conscode_2022
"LICENSING AND REGISTRATION OF BUSINESSES, TRADES AND OCCUPATIONS ENGAGED IN BUILDING WORK",https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022GAP_Chapter4_LicensingWBwm.pdf&amp;section=conscode_2022
MISCELLANEOUS PROVISIONS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022GAP_Chapter5_MiscellaneousWBwm.pdf&amp;section=conscode_2022
ADMINISTRATION,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter1_AdministrationWBwm.pdf&amp;section=conscode_2022
DEFINITIONS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter2_DefinitionsWBwm.pdf&amp;section=conscode_2022
GENERAL REGULATIONS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter3_GenRegsWBwm.pdf&amp;section=conscode_2022
"FIXTURES, FAUCETS AND FIXTURE FITTINGS",https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter4_FixturesWBwm.pdf&amp;section=conscode_2022
WATER HEATERS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter5_WaterHeatersWBwm.pdf&amp;section=conscode_2022
WATER SUPPLY AND DISTRIBUTION,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter6_WaterSupplyWBwm.pdf&amp;section=conscode_2022
SANITARY DRAINAGE,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter7_SanitaryDrainageWBwm.pdf&amp;section=conscode_2022
INDIRECT/SPECIAL WASTE,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter8_IndirectWasteWBwm.pdf&amp;section=conscode_2022
VENTS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter9_VentsWBwm.pdf&amp;section=conscode_2022
"TRAPS, INTERCEPTORS AND SEPARATORS",https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter10_TrapsWBwm.pdf&amp;section=conscode_2022
STORM DRAINAGE,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter11_StormDrainageWBwm.pdf&amp;section=conscode_2022
SPECIAL PIPING AND STORAGE SYSTEMS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter12_SpecialPipingWBwm.pdf&amp;section=conscode_2022
NONPOTABLE WATER SYSTEMS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter13_NonpotableWaterWBwm.pdf&amp;section=conscode_2022
SUBSURFACE LANDSCAPE IRRIGATION SYSTEMS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter14_SubsurfaceIrrigationWBwm.pdf&amp;section=conscode_2022
REFERENCED STANDARD,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_Chapter15_RefStandardsWBwm.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_AppendixA_ReservedWBwm.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_AppendixB_ReservedWBwm.pdf&amp;section=conscode_2022
STRUCTURAL SAFETY,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_AppendixC_StructuralSafetyWBwm.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_AppendixD_ReservedWBwm.pdf&amp;section=conscode_2022
SIZING OF WATER PIPING SYSTEM,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022PC_AppendixE_WaterPipingWBwm.pdf&amp;section=conscode_2022
ADMINISTRATION,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter1_AdministrationWB.pdf&amp;section=conscode_2022
DEFINITIONS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter2_DefinitionsWB.pdf&amp;section=conscode_2022
GENERAL REGULATIONS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter3_GenRegsWB.pdf&amp;section=conscode_2022
VENTILATION,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter4_VentilationWB.pdf&amp;section=conscode_2022
EXHAUST SYSTEMS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter5_ExhaustWB.pdf&amp;section=conscode_2022
DUCT SYSTEMS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter6_DuctsWB.pdf&amp;section=conscode_2022
"COMBUSTION, VENTILATION AND DILUTION AIR",https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter7_CombustionAirWB.pdf&amp;section=conscode_2022
